Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6001,a,NA,0.013556463073283842,0.0035846360617450834,Sp,NA,0.0011276884351851257,-3.831755992851349e-4,1,Y,Low,N,Sp/None,Sp,41.2,0.9,44.6,0.00312,0.00774,NA,0.02099,26.94048033414549,SUIPU/NM,FC04,None,135.56463073283842,35.846360617450834,11.276884351851258,-3.831755992851349,4.9094485061793,3.5792420449454574,3.4209120308069045,2.740108636674128,None
6006,a,NA,0.04377849347977203,0.025570558363084084,Tt,NA,0.006601449726569841,0.0010911946748844437,1,Y,High,N,Tt/Tt,Tt,43.6,1.8,24,NA,0.0131,NA,0.06016,17.881517881517883,THETE/THETE,FC15,Tt,437.78493479772027,255.70558363084083,66.01449726569841,10.911946748844436,6.081727773344836,5.544026718706519,4.446583759945047,3.408913217360745,Self
6008,b,NA,0.004563217428184441,0.003573640655495147,Sp,NA,1.5329586253060024e-4,-3.3208283020252916e-4,1,Y,Low,N,Sp/Sp,Sp,37.9,0.7,53.9,NA,4.8e-4,NA,0.03811,1.2438455558434829,SUIPU/SUIPU,FC06,Sp,45.63217428184441,35.73640655495147,1.5329586253060024,-3.3208283020252916,3.820613044074606,3.5761699606067596,3.0375161538150044,2.772563430239352,Self
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,Tt,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,1,Y,High,N,Tt/None,Tt,12,1.1,10.7,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE/NM,FC16,None,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772,4.0068700683787615,3.075294546613798,None
6011,b,NA,0.02042672849601357,0.011808515247866636,Sp,NA,2.919746203876028e-4,-7.225788955825818e-4,1,Y,Low,N,Tt/Sp,Sp,46.9,0.6,84,0.00677,0.00798,NA,0.07516,9.598267981717584,THETE/SUIPU,FC13,Tt,204.2672849601357,118.08515247866636,2.919746203876028,-7.225788955825818,5.319429356647306,4.771405995390222,3.101900105999441,2.492761939332169,Other
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,Tt,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,1,Y,High,N,Tt/Sp,Tt,45.3,1.2,38.8,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE/SUIPU,FC02,Sp,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,4.457217168322148,2.8301769538492882,Other
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,1,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,FC07,Sp,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,4.954028682035063,3.5609182016631817,Other
6019,a,NA,0.0314281573949684,0.009356886849290369,Sp,NA,0.014271001976754571,-7.116303660598677e-4,1,Y,Low,N,Sp/Sp,Sp,45.2,0.9,50.8,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU/SUIPU,FC13,Sp,314.28157394968406,93.56886849290369,142.7100197675457,-7.116303660598677,5.750289316407859,4.538697726587834,5.087784239815987,2.501773597561361,Self
6020,b,NA,0.03720814712046905,0.010676163871104594,Sp,NA,0.0022991239380654727,-3.1018594520865195e-4,1,Y,Low,N,Sp/Sp,Sp,42.7,0.5,90.1,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU/SUIPU,FC11,Sp,372.0814712046905,106.76163871104593,22.991239380654726,-3.1018594520865195,5.919112838909021,4.670598673903777,3.745062769461558,2.786156523378718,Self
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,1,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,FC13,Tt,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084,2.9246236930300373,2.770279841038147,Self
6022,a,NA,0.018711999630377507,0.026317907926934447,Tt,NA,4.016290571162706e-5,-3.6305659057433992e-6,1,Y,High,N,Tt/Tt,Tt,26.5,1.4,18.9,NA,0.0427,NA,0.0451,48.63325740318907,THETE/THETE,FC07,Tt,187.11999630377508,263.17907926934447,0.4016290571162706,-0.03630565905743399,5.231750102522691,5.5728347102332565,2.981737435656499,2.9592818543466093,Self
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,1,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,FC14,Tt,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397,4.7659689004612265,3.9224186889537465,Self
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,1,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,FC14,Tt,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403,4.278407115656774,2.964943201938881,Self
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,1,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,FC07,Sp,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289,4.050383790385085,3.7856276584833566,Other
6026,a,NA,0.018063464883455005,0.014578819015147904,Tt,NA,0.004437561319404981,-1.0946494792402062e-4,1,Y,High,N,Tt/Tt,Tt,46.4,1.9,24.6,NA,0.02705,NA,0.09192,22.736824409515002,THETE/THETE,FC15,Tt,180.63464883455003,145.78819015147903,44.37561319404981,-1.0946494792402062,5.196476476593163,4.982154815961063,4.154122344460283,2.902836754682318,Self
6028,b,NA,0.011049952629107906,0.0060915248743094175,Tt,NA,7.116579829188896e-4,-8.466623983431898e-4,1,Y,High,N,MIXED/THETE,Tt,45.1,1.6,28.9,0.0105,0.0629,NA,0.0385,62.03155818540434,MIXED/THETE,FC09,Mixed,110.49952629107906,60.915248743094175,7.116579829188896,-8.466623983431898,4.705011233990058,4.109483533243723,3.27476467513886,2.384515216995081,Mixed
6029,b,NA,0.008884137351575339,0.010401317393731846,Tt,NA,1.8249142258303097e-4,-4.707633253426269e-4,1,Y,Low,N,Tt/Tt,Tt,46.4,0.8,55.2,NA,0.00153,NA,0.03923,3.7536800785083417,THETE/THETE,FC08,Tt,88.84137351575339,104.01317393731846,1.8249142258303097,-4.707633253426269,4.486852459462245,4.6445175635933085,3.051419449087941,2.6818971987451077,Self
6031,a,NA,0.006597285283492793,0.005948591647396917,Tt,NA,-6.49588744216334e-4,-7.992186696161863e-4,1,Y,Low,N,Tt/None,Tt,45,0.6,75.7,NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE/NM,FC04,None,65.97285283492793,59.48591647396917,-6.4958874421633395,-7.992186696161863,4.18924333672796,4.085739586617726,2.551360226112248,2.4272984529556103,None
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,1,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,FC04,Tt,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569,2.474491265550675,2.374376689965148,Self
