Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13
6026,b,NA,0.021679761989539026,0.01971226536119053,Tt,NA,0.002456043112603057,-7.736720651709827e-4,N,High,N,Tt/Tt,Tt,41.7,2.4,17.2,-28.021900964910454,Self,8.827109702712653,NA,0.00917,NA,0.05633,13.999999999999998,THETE/THETE,1,FC15,Tt,216.79761989539026,197.1226536119053,24.56043112603057,-7.7367206517098275,5.378964291162933,5.28382614216559
6028,b,NA,0.011049952629107906,0.0060915248743094175,Tt,NA,7.116579829188896e-4,-8.466623983431898e-4,Y,High,N,MIXED/THETE,Tt,45.1,1.6,28.9,-13.051190947810193,0,15.527054981925653,0.0105,0.0629,NA,0.0385,62.03155818540434,MIXED/THETE,1,FC09,Mixed,110.49952629107906,60.915248743094175,7.116579829188896,-8.466623983431898,4.705011233990058,4.109483533243723
6029,a,NA,0.0042553512206249255,0.008532320839050866,Tt,NA,-0.0017152555717276918,-7.517749860734835e-4,N,Low,N,Tt/Tt,Tt,44.8,1,45.9,-5.660405439732174,Self,-2.480884651106961,NA,9e-5,NA,0.04313,0.20823692734844979,THETE/THETE,1,FC08,Tt,42.55351220624925,85.32320839050867,-17.15255571727692,-7.517749860734835,3.7507623946504793,4.4464464970980595
6029,b,NA,0.008884137351575339,0.010401317393731846,Tt,NA,1.8249142258303097e-4,-4.707633253426269e-4,Y,Low,N,Tt/Tt,Tt,46.4,0.8,55.2,-18.87177032133793,Self,48.68249272117534,NA,0.00153,NA,0.03923,3.7536800785083417,THETE/THETE,1,FC08,Tt,88.84137351575339,104.01317393731846,1.8249142258303097,-4.707633253426269,4.486852459462245,4.6445175635933085
6030,a,NA,0.017304998203153454,0.009554780646113148,Tt,NA,-3.5033024171648997e-4,-8.50311917809099e-4,N,Low,N,Tt/Tt,Tt,46.9,0.4,109.3,-20.35135323957502,Self,-49.39624429328538,NA,0.0072,NA,0.07332,8.941877794336811,THETE/THETE,1,FC11,Tt,173.04998203153454,95.54780646113147,-3.5033024171648997,-8.50311917809099,5.153580466247395,4.559626713448737
6030,b,NA,NA,0.013094747010451213,Tt,NA,NA,-0.001175120221067083,Y,Low,N,Tt/Tt,Tt,44.8,0.6,69.4,NA,Self,NA,NA,0.00637,NA,0.040330000000000005,13.640256959314772,THETE/THETE,1,FC11,Tt,NA,130.94747010451212,NA,-11.75120221067083,NA,4.874796251213924
6031,a,NA,0.006597285283492793,0.005948591647396917,Tt,NA,-6.49588744216334e-4,-7.992186696161863e-4,Y,Low,N,Tt/None,Tt,45,0.6,75.7,-8.254668633630704,None,-10.156095440741943,NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE/NM,1,FC04,None,65.97285283492793,59.48591647396917,-6.4958874421633395,-7.992186696161863,4.18924333672796,4.085739586617726
6031,b,NA,NA,0.009455833846683026,None,NA,NA,-1.2771227789387662e-4,N,Low,N,Tt/None,None,42.9,0.8,53.1,-74.04013147851309,None,NA,NA,0.0034,NA,0.049240000000000006,6.4589665653495425,THETE/NM,1,FC04,Tt,NA,94.55833846683026,NA,-1.2771227789387662,NA,4.549216982298149
6032,a,0.0012645511855917668,0.003936487771094566,0.007531828953323494,Tt,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,N,Low,N,Tt/Tt,Tt,39.4,1.7,23,-3.1085088151180877,Self,-7.990268189977451,NA,0.02623,NA,0.03577,42.306451612903224,THETE/THETE,1,FC04,Tt,39.364877710945656,75.31828953323495,-4.9266028091926595,-12.663588894937794,3.6728739900888807,4.3217229942007
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,-6.5003417723557355,Self,-7.48817237553154,NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,1,FC04,Tt,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569
6033,a,0.004310327469668529,0.010269390542044343,NA,Sp,1.9343975319130458e-4,8.320882079917435e-4,NA,N,Low,N,Sp/Sp,Sp,30.7,1.4,21.4,NA,Self,12.341709020044473,0.00296,0.0094,NA,0.02336,28.693528693528698,SUIPU/SUIPU,1,FC01,Sp,102.69390542044343,NA,8.320882079917435,NA,4.631752771653105,NA
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,Sp,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,Y,Low,N,Sp/Sp,Sp,32.2,1.8,17.9,-21.464265928397083,Self,13.336908683910584,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU/SUIPU,1,FC01,Sp,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571
6034,a,NA,0.01450186822817523,0.02051466170688876,Tt,NA,4.963426125029202e-4,-3.7952611404140635e-4,Y,High,N,MIXED/THETE,Tt,35.7,3.6,9.9,-38.21046218335604,0,29.217455569745,NA,0.02442,NA,0.040190000000000003,37.79600681009132,MIXED/THETE,1,FC05,Mixed,145.0186822817523,205.1466170688876,4.963426125029202,-3.7952611404140635,4.976862577443416,5.3237249287151265
6035,a,NA,0.0064653482840644205,0.006344405725396074,Tt,NA,-6.202192128318407e-5,-9.486708876055294e-5,N,Low,N,Tt/Tt,Tt,43.6,0.8,55.2,-68.15164635633683,Self,-104.24295394759663,NA,8.5e-4,NA,0.01781,4.555198285101822,THETE/THETE,1,FC13,Tt,64.6534828406442,63.444057253960736,-0.6202192128318407,-0.9486708876055294,4.1690419760118855,4.15015852947393
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,Tt,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,Y,Low,N,Tt/Tt,Tt,47.1,1.3,36.6,-18.40542709082465,Self,-61.11499125150143,NA,0.00437,NA,0.02195,16.60334346504559,THETE/THETE,1,FC13,Tt,55.74764331746751,85.7629803998261,-0.9121762463820682,-3.028869856829264,4.0208351371143065,4.451587449515107
6036,a,NA,0.013061767126727464,0.005904612109858043,Sp,NA,-1.4231014668225628e-4,-0.0010181901022610629,N,Low,N,Sp/Sp,Sp,50.3,0.6,87,-12.828416911264023,Self,-91.78380762891906,0.0037,3e-4,0.00528,0.04026,0.6544502617801047,SUIPU/SUIPU,1,FC11,Sp,130.61767126727463,59.04612109858043,-1.4231014668225628,-10.181901022610628,4.872274516014212,4.0783188520620905
6036,b,NA,0.004387294115665963,0.005233919316637747,Sp,NA,5.1111267600434385e-5,-1.9340272112816637e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.6,72.6,-22.68475898412277,Self,85.83810031799477,1.6e-4,0,NA,0.04259,0,SUIPU/SUIPU,1,FC11,Sp,43.87294115665963,52.33919316637747,0.5111126760043438,-1.9340272112816637,3.781297755480669,3.95774548174393
6038,a,0.02097630849866916,0.06400045049432634,NA,Tt,3.613138545441319e-4,-4.6711383368225334e-4,NA,N,High,N,Tt/Tt,Tt,44.9,2.4,18.9,NA,Self,-137.01253501702462,NA,0.0095,NA,0.18480000000000002,4.889346371590323,THETE/THETE,1,FC14,Tt,640.0045049432634,NA,-4.671138336822533,NA,6.4614752153027935,NA
6038,b,NA,0.04125154051905788,0.01773369819095838,Tt,NA,0.004200367160267726,-1.3866067908407942e-4,Y,High,N,Tt/Tt,Tt,48.1,1.8,26.6,-297.49991700274495,Self,9.820936824110529,NA,0.0325,NA,0.036699999999999997,46.96531791907515,THETE/THETE,1,FC14,Tt,412.5154051905788,177.3369819095838,42.00367160267726,-1.3866067908407942,6.022273550993949,5.178051775139983
6039,a,NA,0.0032547728109193486,0.0035516498356618076,Tt,NA,-4.707633253426269e-4,-5.765986997945394e-4,N,Low,N,Tt/None,Tt,46.5,0.5,99.4,-5.644780003976992,None,-6.913819823476028,NA,0.01556,NA,0.03635,29.974956655750333,THETE/NM,1,FC10,None,32.547728109193486,35.51649835661807,-4.707633253426269,-5.765986997945394,3.4827075692660765,3.5699973309619955
6039,b,NA,NA,0.0038375297308359535,None,NA,NA,-1.861037787133646e-4,Y,Low,N,Tt/None,None,56.5,0.8,74.7,-20.6203751335242,None,NA,NA,0,NA,0.05432,0,THETE/NM,1,FC10,Tt,NA,38.375297308359535,NA,-1.8610377871336459,NA,3.6474139533264585
6040,a,NA,0.014820663566123882,0.008235473709920615,Tt,NA,5.729803933919309e-4,-3.5397972482137385e-4,N,High,N,Tt/None,Tt,39.4,3.6,10.9,-41.868679268573146,None,25.86591746776618,NA,0.2364,NA,0.031,88.40688107703815,THETE/NM,1,FC09,None,148.2066356612388,82.35473709920615,5.7298039339193085,-3.5397972482137385,4.998607486901712,4.411035978942569
6040,b,NA,NA,0.007542823479634642,None,NA,NA,-9.30601413702159e-4,Y,High,N,Tt/None,None,44.3,1.5,29.4,-8.10532132078701,None,NA,NA,0,NA,0.04905,0,THETE/NM,1,FC09,Tt,NA,75.42823479634642,NA,-9.30601413702159,NA,4.323181671713764
6041,a,NA,0.021086223766257683,0.010445292932755423,Sp,NA,1.6059475414781366e-4,-8.39363360213452e-4,N,High,N,Tt/Sp,Sp,14.9,1.2,12.4,-25.12168718074066,Other,131.3008253485642,0.0037,0.0205,NA,0.046,30.82706766917293,THETE/SUIPU,1,FC07,Tt,210.86223766257683,104.45292932755423,1.6059475414781366,-8.393633602134521,5.351205018169594,4.648736532870723
6041,b,NA,0.12292754376658754,0.014007181738600716,Tt,NA,0.044999390699924036,0.0029632900859812294,Y,High,N,Tt/Sp,Tt,36.9,1.2,31.1,41.48346607985993,Other,2.731760182850544,NA,0.0018,NA,0.0352,4.864864864864864,THETE/SUIPU,1,FC07,Sp,1229.2754376658754,140.07181738600715,449.9939069992404,29.632900859812295,7.114180199725183,4.942155272407985
6043,a,NA,0.038889272037155864,0.013523483497465794,Sp,NA,6.569168752761922e-4,-0.0014378880385196857,N,High,N,Sp/Sp,Sp,39.6,0.9,42.4,-27.046105813073318,Self,59.199684923309924,NA,0.0162,NA,0.1021,13.693998309382927,SUIPU/SUIPU,1,FC02,Sp,388.89272037155865,135.23483497465793,6.5691687527619225,-14.378880385196858,5.963303522476759,4.907012785559481
6043,b,NA,0.06071673002756617,0.012611039844925731,Sp,NA,-2.0800060916620344e-4,-7.371769386890215e-4,Y,High,N,Sp/Sp,Sp,28.1,1.9,14.6,-82.363848949946,Self,-291.90650099995764,0.00316,0.00207,NA,0.04733,4.190283400809716,SUIPU/SUIPU,1,FC02,Sp,607.1673002756617,126.1103984492573,-2.0800060916620344,-7.3717693868902145,6.408804371330326,4.837157701500159
