uniqueID,Plant,Side,dead_tissue.x,other.x,roots.x,Sp_myco_mass,Tt_myco_mass,<NA>.x,mycorrhizas.x,other.y,roots.y,Sp_dead_mass,Tt_dead_mass,<NA>.y,dead_tissue.y,mycorrhizas.y,uncolonized_root_mass,Sp_other_mass,Tt_other_mass,<NA>,percent_Tt_mycos,percent_Sp_mycos,percent_Tt_dead,percent_Sp_dead,N_level,Batch,compartment_fungus_attempted,compartment_fungus,competitors_attempted,competitors,enriched,total_root_biomass_compartment
6016B,6016,B,NA,NA,0.02443,NA,NA,0,0,NA,0.02443,NA,NA,NA,NA,0,0.02443,NA,NA,NA,0,0,0,0,Low,FC03,None,None,Tt/None,Tt/None,1,0.4849
6018B,6018,B,NA,NA,0.0474,NA,0.01757,NA,0.01757,NA,0.0474,NA,NA,NA,NA,0.01757,0.0474,NA,NA,NA,27.04325073110666,0,0,0,High,FC12,None,Tt,Tt/None,THETE,1,0.6961999999999999
6019A,6019,A,0.03587,NA,0.020040000000000002,0.0185,NA,NA,0,NA,0.020040000000000002,0.03587,NA,NA,0.03587,0.0185,0.020040000000000002,NA,NA,NA,0,100,0,0,Low,FC13,Sp,Sp,Sp/Sp,Sp/Sp,1,0.23658
6019B,6019,B,5.5e-4,NA,0.049569999999999996,0.00259,NA,NA,0,NA,0.049569999999999996,5.5e-4,NA,NA,5.5e-4,0.00259,0.049569999999999996,NA,NA,NA,0,100,0,0,Low,FC13,Sp,Sp,Sp/Sp,Sp/Sp,1,0.0846
6020A,6020,A,NA,NA,0.07132,0,NA,NA,0,NA,0.07132,NA,NA,NA,NA,0,0.07132,NA,NA,NA,0,0,0,0,Low,FC11,Sp,Sp,Sp/Sp,Sp/Sp,1,0.33236
6020B,6020,B,0.01921,NA,0.03295,0,NA,NA,0,NA,0.03295,0.01921,NA,NA,0.01921,0,0.03295,NA,NA,NA,0,0,0,36.82898773006135,Low,FC11,Sp,Sp,Sp/Sp,Sp/Sp,1,0.6106199999999999
6021A,6021,A,NA,NA,0.040319999999999995,NA,0.01844,NA,0.01844,NA,0.040319999999999995,NA,NA,NA,NA,0.01844,0.040319999999999995,NA,NA,NA,31.381892443839355,0,0,0,Low,FC13,Tt,Tt,Tt/None,Tt/Tt,1,0.30741
6021B,6021,B,NA,NA,0.09323000000000001,NA,0.0074400000000000004,NA,0.0074400000000000004,NA,0.09323000000000001,NA,NA,NA,NA,0.0074400000000000004,0.09323000000000001,NA,NA,NA,7.3904837588159324,0,0,0,Low,FC13,None,Tt,Tt/None,Tt/Tt,1,0.57512
6022A,6022,A,NA,NA,0.0451,NA,0.0427,NA,0.0427,NA,0.0451,NA,NA,NA,NA,0.0427,0.0451,NA,NA,NA,48.63325740318907,0,0,0,High,FC07,Tt,Tt,Tt/Tt,Tt/Tt,1,0.9674
6022B,6022,B,NA,NA,0.06075,NA,0.03,NA,0.03,NA,0.06075,NA,NA,NA,NA,0.03,0.06075,NA,NA,NA,33.057851239669425,0,0,0,High,FC07,Tt,Tt,Tt/Tt,Tt/Tt,1,0.80235
