Plant,competitors,N_level,competitors_attempted,total_root_mass,percent_col_overall,percent_col_Sp,percent_col_Tt,total_biomass,Batch
6001,Sp/None,Low,Sp/None,0.37031000000000003,15.34496431403648,15.34496431403648,0,0.79983,FC04
6006,Tt/Tt,High,Tt/Tt,1.32582,19.44073381423101,0,19.44073381423101,4.18327,FC15
6007,Sp/None,Low,Tt/Sp,0.40474,16.714625297134997,16.714625297134997,0,0.869,FC01
6008,Sp/Sp,Low,Sp/Sp,0.26299,0.7219130696345316,0.7219130696345316,0,0.54406,FC06
6010,Tt/None,High,Tt/None,1.37848,7.062755618101061,0,7.062755618101061,4.33686,FC16
6011,Tt/Sp,Low,Tt/Sp,0.63773,13.032126234532866,0,13.032126234532866,1.1574799999999998,FC13
6012,Tt/Sp,High,Tt/Sp,0.76032,47.677865612648226,1.8774703557312253,45.80039525691699,2.34032,FC02
6013,Sp/None,Low,Sp/None,0.83666,0.43710165020314634,0.43710165020314634,0,1.66363,FC10
6014,None/None,High,None/None,0.66726,0,0,0,1.7113399999999999,FC07
6015,Tt/Sp,High,Sp/None,1.6806900000000002,43.5645224389426,17.856144861118874,25.708377577823732,3.64942,FC07
6016,Tt/None,Low,Tt/None,0.68729,39.5873320537428,0,39.5873320537428,1.32291,FC03
6019,Sp/Sp,Low,Sp/Sp,0.32118,23.252480705622933,23.252480705622933,0,0.7878,FC13
6020,Sp/Sp,Low,Sp/Sp,0.9429799999999999,0,0,0,1.7305199999999998,FC11
6021,Tt/Tt,Low,Tt/None,0.88253,16.2328294549332,0,16.2328294549332,1.6237599999999999,FC13
6022,Tt/Tt,High,Tt/Tt,1.7697500000000002,40.716886026323166,0,40.716886026323166,5.19916,FC07
6023,Tt/Tt,High,Tt/Tt,1.1521,21.126760563380287,0,21.126760563380287,4.04501,FC14
6024,Tt/Tt,High,Tt/None,1.6658,23.443223443223438,0,23.443223443223438,4.69055,FC14
6025,Tt/Sp,High,Tt/Sp,1.72692,23.946964184655187,10.566739429218206,13.380224755436977,4.78099,FC07
6026,Tt/Tt,High,Tt/Sp,1.19899,19.63462893695452,0,19.63462893695452,3.9969900000000003,FC15
6029,Tt/Tt,Low,Tt/Tt,0.41953999999999997,1.9290307216003808,0,1.9290307216003808,1.10072,FC08
6030,Tt/Tt,Low,Tt/Tt,0.9347599999999999,10.666561861342554,0,10.666561861342554,1.96593,FC11
6031,Tt/None,Low,Tt/None,0.49872000000000005,10.694831938355254,0,10.694831938355254,0.86184,FC04
6032,Tt/Tt,Low,Tt/Tt,0.74749,38.22788674349385,0,38.22788674349385,1.39309,FC04
6033,Sp/Sp,Low,Sp/Sp,0.35241,13.341844877114587,13.341844877114587,0,0.83999,FC01
6035,Tt/Tt,Low,Tt/Tt,0.5968600000000001,11.605157847932412,0,11.605157847932412,1.56061,FC13
6036,Sp/Sp,Low,Sp/None,0.63881,0.3392513852764899,0.3392513852764899,0,1.27362,FC11
6038,Tt/Tt,High,Tt/Tt,2.2457,15.939278937381404,0,15.939278937381404,6.1919900000000005,FC14
6039,Tt/None,Low,Tt/None,0.95158,14.647463051868584,0,14.647463051868584,1.79314,FC10
6040,Tt/None,High,Tt/None,0.98764,74.70374466740401,0,74.70374466740401,2.1406300000000003,FC09
6041,Tt/Sp,High,Sp/None,0.8041,21.545893719806763,19.806763285024157,1.7391304347826086,1.85417,FC07
6043,Sp/Sp,High,Sp/Sp,1.06417,10.894454382826472,10.894454382826472,0,3.0163699999999998,FC02
6044,Tt/Tt,Low,None/None,0.44999,17.32970807097882,0,17.32970807097882,0.96578,FC13
6045,Tt/Tt,Low,Tt/Tt,0.60023,35.39723722039128,0,35.39723722039128,1.17796,FC03
6048,Tt/None,High,Sp/Sp,0.23067,10.862227677201597,0,10.862227677201597,0.64366,FC02
6049,Tt/None,High,Tt/None,1.3857499999999998,11.70466144947261,0,11.70466144947261,3.79955,FC02
6050,Sp/Sp,High,Sp/Sp,1.3070400000000002,35.33782616208744,35.33782616208744,0,2.5203599999999997,FC05
6051,Tt/None,High,Sp/None,0.60361,21.562809099901088,0,21.562809099901088,1.55171,FC09
6053,Tt/Sp,Low,Tt/Sp,0.6322,19.093504639543177,4.853675945753033,14.239828693790146,1.32979,FC08
6054,Tt/None,Low,Tt/None,0.5473,16.03305785123967,0,16.03305785123967,1.07494,FC06
6055,Tt/Tt,High,Tt/Tt,1.08056,17.019889142484512,0,17.019889142484512,3.74581,FC09
6058,None/None,Low,None/None,0.56565,0,0,0,1.34219,FC13
6061,Tt/None,Low,None/None,0.29653999999999997,0,0,0,1.27606,FC01
6061,Tt/Tt,Low,None/None,0.33452,4.910141206675225,0,4.910141206675225,1.27606,FC01
6062,Sp/None,Low,Sp/Sp,0.5875600000000001,1.5666082383873796,1.5666082383873796,0,1.12896,FC03
6063,Sp/None,High,Sp/Sp,0.67561,10.729047577169993,10.729047577169993,0,1.44911,FC02
6064,Tt/Sp,High,Sp/Sp,0.81316,10.265060240963857,2.2289156626506026,8.036144578313253,1.9198,FC05
6065,Tt/Tt,High,None/None,1.7138200000000001,25.730460189919647,0,25.730460189919647,4.56389,FC12
6066,Tt/Tt,High,Tt/Sp,1.3296700000000001,33.62725733634312,0,33.62725733634312,3.6459900000000003,FC12
6068,Tt/None,High,None/None,0.8508499999999999,20.95962420310927,0,20.95962420310927,2.61799,FC05
6069,Tt/None,Low,Tt/None,0.59419,3.386243386243387,0,3.386243386243387,1.20369,FC11
6070,Tt/Tt,High,Sp/None,2.0059,26.569217540842647,0,26.569217540842647,6.35539,FC14
6071,Tt/Sp,Low,Tt/Sp,0.72766,29.503747738433702,3.101576634789351,26.402171103644353,1.40267,FC11
6072,Tt/Tt,Low,Tt/Tt,0.69543,31.38572482176514,0,31.38572482176514,1.78553,FC10
6073,Tt/Tt,High,Tt/None,0.7226400000000001,20.471952893257185,0,20.471952893257185,2.3210100000000002,B01
