Plant,Side,competitors,compartment_fungus,N_level,total_root_biomass_compartment,percent_col_overall,percent_col_Sp,percent_col_Tt
6055,B,Tt/Tt,Tt,High,0.5878,15.141955835962145,0,15.141955835962145
6058,A,None/None,None,Low,0.26985,0,0,0
6058,B,None/None,None,Low,0.2958,0,0,0
6061,A,Tt/None,None,Low,0.29653999999999997,0,0,0
6061,B,Tt/Tt,Tt,Low,0.33452,4.910141206675225,0,4.910141206675225
6062,A,Sp/None,Sp,Low,0.23319,3.413702554308905,3.413702554308905,0
6062,B,Sp/None,None,Low,0.35437,0,0,0
6063,A,Sp/None,Sp,High,0.18411,15.210073556913102,15.210073556913102,0
6063,B,Sp/None,None,High,0.4915,0,0,0
6064,A,Tt/Sp,Sp,High,0.2125,4.191209787041233,4.191209787041233,0
6064,B,Tt/Sp,Tt,High,0.60066,17.16417910447761,0,17.16417910447761
6065,A,Tt/Tt,Tt,High,1.10495,54.69457705961562,0,54.69457705961562
6065,B,Tt/Tt,Tt,High,0.60887,8.503822351656352,0,8.503822351656352
6066,A,Tt/Tt,Tt,High,0.71151,40.52957505872305,0,40.52957505872305
6066,B,Tt/Tt,Tt,High,0.61816,20.187110187110186,0,20.187110187110186
6068,A,Tt/None,None,High,0.52616,0,0,0
6068,B,Tt/None,Tt,High,0.32469,33.95542670773691,0,33.95542670773691
6069,A,Tt/None,Tt,Low,0.3592,10.89445991952956,0,10.89445991952956
6069,B,Tt/None,None,Low,0.23498999999999998,0,0,0
6070,A,Tt/Tt,Tt,High,0.9008999999999999,28.365384615384617,0,28.365384615384617
6070,B,Tt/Tt,Tt,High,1.105,25.568942436412318,0,25.568942436412318
6071,A,Tt/Sp,Tt,Low,0.33214,54.32065939909598,0,54.32065939909598
6071,B,Tt/Sp,Sp,Low,0.39552000000000004,6.0346995222529545,6.0346995222529545,0
6072,A,Tt/Tt,Tt,Low,0.09910000000000001,58.783783783783775,0,58.783783783783775
6072,B,Tt/Tt,Tt,Low,0.59633,22.61170615600995,0,22.61170615600995
6073,A,Tt/Tt,Tt,High,0.05291,83.20332813312532,0,83.20332813312532
6073,B,Tt/Tt,Tt,High,0.66973,7.598313857318178,0,7.598313857318178
6074,A,None/None,None,Low,0.45231,0,0,0
6074,B,None/None,None,Low,0.25514,0,0,0
6075,A,Tt/Tt,Tt,Low,0.4779,27.310924369747898,0,27.310924369747898
6075,B,Tt/Tt,Tt,Low,0.26822,16.479820627802688,0,16.479820627802688
6076,A,Tt/None,None,Low,0.0681,0,0,0
6076,B,Tt/None,Tt,Low,0.4717,0,0,0
6077,A,Sp/Sp,Sp,Low,0.5914900000000001,16.685714285714287,16.685714285714287,0
6077,B,Sp/Sp,Sp,Low,0.21444000000000002,0,0,0
6078,A,Tt/Sp,Tt,Low,0.08916,37.000291800408526,0,37.000291800408526
6078,B,Tt/Sp,Sp,Low,0.31198000000000004,9.222823413674373,9.222823413674373,0
6079,A,Sp/None,Sp,Low,0.2833,7.192575406032484,7.192575406032484,0
6079,B,Sp/None,None,Low,0.158,0,0,0
6080,A,Tt/Tt,Tt,Low,0.36227000000000004,30.929714401458376,0,30.929714401458376
6080,B,Tt/Tt,Tt,Low,0.4017,23.262032085561493,0,23.262032085561493
6084,A,Sp/Sp,Sp,Low,0.72417,39.610533303828284,39.610533303828284,0
6084,B,Sp/Sp,Sp,Low,0.77091,13.716962194713952,13.716962194713952,0
6085,A,Tt/Sp,Tt,Low,0.1631,49.20863309352517,0,49.20863309352517
6085,B,Tt/Sp,Sp,Low,0.36584,6.399317406143344,6.399317406143344,0
6087,A,Tt/Tt,Tt,High,0.5992,21.88449848024316,0,21.88449848024316
6087,B,Tt/Tt,Tt,High,0.7513,30.401034928848638,0,30.401034928848638
6088,A,Tt/Tt,Tt,Low,0.44670000000000004,43.03745928338762,0,43.03745928338762
6088,B,Tt/Tt,Tt,Low,0.36903,24.184129165235316,0,24.184129165235316
6090,A,Tt/None,Tt,High,0.87332,42.064092858945244,0,42.064092858945244
6090,B,Tt/None,None,High,0.78506,0,0,0
6091,A,Tt/None,Tt,High,0.51215,63.46318860477089,0,63.46318860477089
6091,B,Tt/None,None,High,0.65378,0,0,0
6092,A,Sp/Sp,Sp,Low,0.3199,3.7514209928003033,3.7514209928003033,0
6092,B,Sp/Sp,Sp,Low,0.27527999999999997,3.611039463502708,3.611039463502708,0
6093,A,Tt/Tt,Tt,High,1.23515,28.162551889884202,0,28.162551889884202
6093,B,Tt/Tt,Tt,High,0.83418,50.24820739106453,0,50.24820739106453
6094,A,Tt/Tt,Tt,High,1.0359,30.782396088019564,0,30.782396088019564
6094,B,Tt/Tt,Tt,High,1.17003,45.174844131200864,0,45.174844131200864
6096,A,Tt/None,None,Low,0.14731,0,0,0
6096,B,Tt/None,Tt,Low,0.26643,0,0,0
6097,A,Tt/Tt,Tt,High,0.8408599999999999,41.514789363609204,0,41.514789363609204
6097,B,Tt/Tt,Tt,High,0.12539,21.740170667517347,0,21.740170667517347
6099,A,Tt/Tt,Tt,High,0.82755,22.03196347031963,0,22.03196347031963
6099,B,Tt/Tt,Tt,High,1.0884,25.052192066805848,0,25.052192066805848
6100,A,Tt/Tt,Tt,Low,0.21789000000000003,35.91968269707486,0,35.91968269707486
6100,B,Tt/Tt,Tt,Low,0.48196999999999995,17.820131030375222,0,17.820131030375222
6101,A,Tt/None,Tt,Low,0.33382,34.672789896670494,0,34.672789896670494
6101,B,Tt/None,None,Low,0.42341,0,0,0
6102,A,Tt/Tt,Tt,High,0.46873,18.951132300357568,0,18.951132300357568
6102,B,Tt/Tt,Tt,High,1.81557,56.06413240237911,0,56.06413240237911
6103,A,Tt/Tt,Tt,High,0.54943,28.56649395509499,0,28.56649395509499
6103,B,Tt/Tt,Tt,High,0.9864499999999999,12.90414878397711,0,12.90414878397711
6104,A,Tt/Tt,Tt,Low,0.67165,12.348450830713965,0,12.348450830713965
6104,B,Tt/Tt,Tt,Low,0.27554,47.1264367816092,0,47.1264367816092
6106,A,Tt/Sp,Tt,High,0.49,18.10181424316274,0,18.10181424316274
6106,B,Tt/Sp,Sp,High,0.71702,0,0,0
