Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6011,a,Tt,0.00644335874994062,0.012973820662606883,0.008279451174811436,32.3,36.7,45,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,1,0.8,0.6,1,N,Low,N,Tt/Sp,THETE,NA,0.02296,NA,0.07805999999999999,22.72817263908137,FC13,Tt,Tt/Sp,6011 A,0,129.73820662606883,82.79451174811436,-3.831755992851349,-4.9995926825047166,4.865518624859628,4.416361775959049,2.740108636674128,2.66171518726735,0
6011,b,Sp,NA,0.02042672849601357,0.011808515247866636,NA,25.6,46.9,NA,2.919746203876028e-4,-7.225788955825818e-4,NA,0.7,0.6,1,Y,Low,N,Tt/Sp,SUIPU,0.00677,0.00798,NA,0.07516,NA,FC13,Sp,Tt/Sp,6011 B,0,204.2672849601357,118.08515247866636,2.919746203876028,-7.225788955825818,5.319429356647306,4.771405995390222,3.101900105999441,2.492761939332169,0
6012,a,Tt,0.014040160991854789,0.030614948729296376,0.02430663266099531,4.2,39.1,45.3,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,0.3,2.6,1.2,1,Y,High,N,Tt/Sp,THETE,0.0129,0.0927,NA,0.0704,56.83629675045984,FC02,Tt,Tt/Sp,6012 A,0,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,4.457217168322148,2.8301769538492882,0
6012,b,Sp,NA,0.015853986052507762,0.06127684493631902,NA,16.8,17.2,NA,4.5619896593568354e-4,5.510838965971931e-4,NA,1,1.5,1,N,High,N,Tt/Sp,SUIPU,0.0051,0.0038,NA,0.0355,9.669211195928755,FC02,Sp,Tt/Sp,6012 B,0,158.53986052507761,612.7684493631901,4.561989659356835,5.5108389659719315,5.066006047662676,6.4179871310748045,3.173142342651624,3.212103448050376,0
6013,a,Sp,NA,0.025043010693769352,0.00953279248556993,NA,37.4,43.1,NA,5.145897138847388e-4,-1.5690801974821422e-4,NA,1.2,0.7,1,N,Low,N,Sp/None,SUIPU,0.00169,0.00227,NA,0.02594,8.04679191775966,FC10,Sp,Sp/None,6013 A,0,250.43010693769352,95.3279248556993,5.145897138847388,-1.5690801974821422,5.523179867372425,4.5573227882595315,3.1972975095492906,2.8764611996857155,0
6014,a,None,NA,NA,0.025570558363084084,NA,NA,42.8,NA,NA,-0.0015583237513989157,NA,NA,2.2,1,Y,High,N,None/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,255.70558363084083,NA,-15.583237513989157,NA,5.544026718706519,NA,1.3183329542261142,0
6014,b,None,NA,NA,0.01196242508398404,NA,NA,43.3,NA,NA,-0.0012773075409343582,NA,NA,1.4,1,N,High,N,None/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,119.62425083984041,NA,-12.773075409343582,NA,4.784355587181642,NA,1.87906011664878,0
6015,a,Sp,NA,0.01511747117134421,0.01971226536119053,NA,10.7,43.3,NA,-4.56165360305294e-4,-0.0014415376012988368,NA,1.2,1,1,N,High,N,Tt/Sp,SUIPU,0.0027,0.0639,NA,0.0974,39.61562306261624,FC07,Sp,Sp/None,6015 A,0,151.1747117134421,197.1226536119053,-4.56165360305294,-14.415376012988368,5.018436199185023,5.28382614216559,2.691837484540399,1.5902648018687675,0
6015,b,Tt,0.02018491135985867,0.02596621542156563,0.01641460943040829,15.6,25.8,45.3,0.008316437845406421,0.012242443652185742,0.001587507524355547,1.3,NA,1,1,Y,High,N,Tt/Sp,THETE,NA,0.092,NA,0.10456,46.8050468050468,FC07,None,Sp/None,6015 B,0,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,4.954028682035063,3.5609182016631817,0
6016,a,Tt,NA,0.006839168868316259,0.004816106093640249,NA,37.5,42.4,NA,-1.0581548273219665e-4,-1.4231014668225628e-4,NA,NA,0.8,1,N,Low,N,Tt/None,THETE,NA,0.05775,NA,0.0637,47.55043227665706,FC03,Tt,Tt/None,6016 A,0,68.39168868316258,48.16106093640249,-1.0581548273219665,-1.4231014668225628,4.225251306765429,3.8745508301682725,2.904837117602513,2.8846511021200127,0
6016,b,None,NA,NA,0.007421883555783326,NA,NA,46.3,NA,NA,-9.30601413702159e-4,NA,NA,0.6,1,Y,Low,N,Tt/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,74.21883555783326,NA,-9.30601413702159,NA,4.307017966447578,NA,2.3040250056335156,0
