Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,THETE,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,45.6,0.6,77.7
6021,b,0.0017923525687293385,0.004057436218082744,0.002408113730523853,THETE,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,hyphae,1,N,Low,N,THETE/THETE,THETE,21.5,0.7,30.7
6022,a,NA,0.018711999630377507,0.026317907926934447,THETE,NA,4.016290571162706e-5,-3.6305659057433992e-6,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,26.5,1.4,18.9
6022,b,NA,0.022097432765042058,0.023185558481169988,THETE,NA,9.999601571684114e-4,-3.028869856829264e-4,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,37.6,1.4,26.6
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,THETE,0.00749908917032216,0.009812443091747558,0.003120207168362532,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,46.4,2.5,18.3
6023,b,NA,0.0525339357059178,0.02879067523123502,THETE,NA,0.0018356620947948543,-0.0011641715920852058,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,46.8,2.9,16.2
6024,a,0.023119612149667512,0.03225234172026625,0.02675752004110965,THETE,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,mycorrhizas,1,N,High,N,THETE/THETE,THETE,47.7,2.4,19.7
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,THETE,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,48.6,1.7,27.8
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,THETE,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,hyphae,1,Y,High,N,THETE/SUIPU,THETE,10.5,0.8,13.5
6025,b,NA,0.03180178932473887,0.03981221827374681,SUIPU,NA,4.270035662953253e-4,-0.001003591976806606,uncolonized_roots,1,N,High,N,THETE/SUIPU,SUIPU,44.1,1.2,37.3
6026,a,NA,0.018063464883455005,0.014578819015147904,THETE,NA,0.004437561319404981,-1.0946494792402062e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,46.4,1.9,24.6
6026,b,NA,0.021679761989539026,0.01971226536119053,THETE,NA,0.002456043112603057,-7.736720651709827e-4,mycorrhizas,1,N,High,N,THETE/THETE,THETE,41.7,2.4,17.2
6027,a,0.011544668700143701,0.014875628071857827,0.012215275917769608,THETE,0.005094400788785425,0.003434039850243764,5.729803933919309e-4,hyphae,1,Y,High,Y,THETE,THETE,18.4,1.3,14.6
6028,a,NA,NA,0.0069930941699971605,NM,NA,NA,-0.0011240266397388732,uncolonized_roots,1,N,High,N,MIXED/THETE,MIXED,45.2,1.3,34.1
6028,a,NA,0.013743346920825461,NA,SUIPU,NA,-8.39363360213452e-4,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,31.3,1.6,19
6028,a,NA,0.023405378951008915,NA,THETE,NA,-8.02692338748856e-5,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,31.7,1.7,18.6
6028,b,NA,0.011049952629107906,0.0060915248743094175,THETE,NA,7.116579829188896e-4,-8.466623983431898e-4,uncolonized_roots,1,Y,High,N,MIXED/THETE,THETE,45.1,1.6,28.9
6029,a,NA,0.0042553512206249255,0.008532320839050866,THETE,NA,-0.0017152555717276918,-7.517749860734835e-4,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,44.8,1,45.9
6029,b,NA,0.008884137351575339,0.010401317393731846,THETE,NA,1.8249142258303097e-4,-4.707633253426269e-4,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,46.4,0.8,55.2
6030,a,NA,0.017304998203153454,0.009554780646113148,THETE,NA,-3.5033024171648997e-4,-8.50311917809099e-4,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,46.9,0.4,109.3
6030,b,NA,NA,0.013094747010451213,THETE,NA,NA,-0.001175120221067083,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,44.8,0.6,69.4
6031,a,NA,0.006597285283492793,0.005948591647396917,THETE,NA,-6.49588744216334e-4,-7.992186696161863e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,THETE,45,0.6,75.7
6031,b,NA,NA,0.009455833846683026,NM,NA,NA,-1.2771227789387662e-4,uncolonized_roots,1,N,Low,N,THETE/NM,NM,42.9,0.8,53.1
6032,a,0.0012645511855917668,0.003936487771094566,0.007531828953323494,THETE,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,hyphae,1,N,Low,N,THETE/THETE,THETE,39.4,1.7,23
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,THETE,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,hyphae,1,Y,Low,N,THETE/THETE,THETE,15.1,0.7,21.6
6033,a,0.004310327469668529,0.010269390542044343,NA,SUIPU,1.9343975319130458e-4,8.320882079917435e-4,NA,mycorrhizas,1,N,Low,N,SUIPU/SUIPU,SUIPU,30.7,1.4,21.4
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,SUIPU,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,SUIPU,32.2,1.8,17.9
6034,a,NA,0.01450186822817523,0.02051466170688876,THETE,NA,4.963426125029202e-4,-3.7952611404140635e-4,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,35.7,3.6,9.9
6034,b,NA,0.0015174567178264375,NA,SUIPU,NA,0.0017663249127961578,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,21.5,0.8,25.4
6034,b,NA,0.005915606997909162,NA,THETE,NA,0.002521730062153449,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,27.6,1.5,19
6035,a,NA,0.0064653482840644205,0.006344405725396074,THETE,NA,-6.202192128318407e-5,-9.486708876055294e-5,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,43.6,0.8,55.2
