Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6029,A,Tt,NA,9e-5,NA,0.04313,0.20823692734844979,Low,FC08,Tt,Tt,Tt/Tt,Tt/Tt,1,6029 A
6029,B,Tt,NA,0.00153,NA,0.03923,3.7536800785083417,Low,FC08,Tt,Tt,Tt/Tt,Tt/Tt,1,6029 B
6030,A,Tt,NA,0.0072,NA,0.07332,8.941877794336811,Low,FC11,Tt,Tt,Tt/Tt,Tt/Tt,1,6030 A
6030,B,Tt,NA,0.00637,NA,0.040330000000000005,13.640256959314772,Low,FC11,Tt,Tt,Tt/Tt,Tt/Tt,1,6030 B
6031,A,Tt,NA,0.00805,NA,0.017980000000000003,30.925854782942753,Low,FC04,Tt,Tt,Tt/None,Tt/None,1,6031 A
6031,B,NA,NA,0.0034,NA,0.049240000000000006,6.4589665653495425,Low,FC04,None,None,Tt/None,Tt/None,1,6031 B
6032,A,Tt,NA,0.02623,NA,0.03577,42.306451612903224,Low,FC04,Tt,Tt,Tt/Tt,Tt/Tt,1,6032 A
6032,B,Tt,NA,0.02386,NA,0.04517,34.564682022309135,Low,FC04,Tt,Tt,Tt/Tt,Tt/Tt,1,6032 B
6033,A,Sp,0.00296,0.0094,NA,0.02336,28.693528693528698,Low,FC01,Sp,Sp,Sp/Sp,Sp/Sp,1,6033 A
6033,B,Sp,NA,0.00314,NA,0.05809,5.128205128205128,Low,FC01,Sp,Sp,Sp/Sp,Sp/Sp,1,6033 B
6034,A,Tt,NA,0.02442,NA,0.040190000000000003,37.79600681009132,High,FC05,Tt,Tt,MIXED/THETE,Tt/Sp,1,6034 A
6034,B,Tt,0.02213,0.00737,NA,0.053720000000000004,12.064167621541985,High,FC05,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6034 B
6034,B,Sp,NA,0.01653,NA,NA,100,High,FC05,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6034 B
6035,A,Tt,NA,8.5e-4,NA,0.01781,4.555198285101822,Low,FC13,Tt,Tt,Tt/Tt,Tt/Tt,1,6035 A
6035,B,Tt,NA,0.00437,NA,0.02195,16.60334346504559,Low,FC13,Tt,Tt,Tt/Tt,Tt/Tt,1,6035 B
6036,A,Sp,0.0037,3e-4,NA,0.04554,0.6544502617801047,Low,FC11,Sp,Sp,Sp/Sp,Sp/None,1,6036 A
6036,B,Sp,1.6e-4,0,NA,0.04259,0,Low,FC11,None,Sp,Sp/Sp,Sp/None,1,6036 B
6038,A,Tt,NA,0.0095,NA,0.18480000000000002,4.889346371590323,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,6038 A
6038,B,Tt,NA,0.0325,NA,0.036699999999999997,46.96531791907515,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,6038 B
6039,A,Tt,NA,0.01556,NA,0.03635,29.974956655750333,Low,FC10,Tt,Tt,Tt/None,Tt/None,1,6039 A
6039,B,NA,NA,0,NA,0.05432,0,Low,FC10,None,None,Tt/None,Tt/None,1,6039 B
6040,A,Tt,NA,0.2364,NA,0.031,88.40688107703815,High,FC09,Tt,Tt,Tt/None,Tt/None,1,6040 A
6040,B,NA,NA,0,NA,0.04905,0,High,FC09,None,None,Tt/None,Tt/None,1,6040 B
6041,A,Sp,0.0037,0.0205,NA,0.046,30.82706766917293,High,FC07,Sp,Sp,Tt/Sp,Sp/None,1,6041 A
6041,B,Tt,NA,0.0018,NA,0.0352,4.864864864864864,High,FC07,None,Tt,Tt/Sp,Sp/None,1,6041 B
6043,A,Sp,NA,0.0162,NA,0.1021,13.693998309382927,High,FC02,Sp,Sp,Sp/Sp,Sp/Sp,1,6043 A
6043,B,Sp,0.00316,0.00207,NA,0.04733,4.190283400809716,High,FC02,Sp,Sp,Sp/Sp,Sp/Sp,1,6043 B
6044,A,Tt,NA,0.01025,NA,0.032529999999999996,23.95979429640019,Low,FC13,None,Tt,Tt/Tt,None/None,1,6044 A
6044,B,Tt,NA,0.0018600000000000001,NA,0.02524,6.863468634686347,Low,FC13,None,Tt,Tt/Tt,None/None,1,6044 B
6045,A,Tt,0.00144,0.01733,NA,0.05926,22.626974800887844,Low,FC03,Tt,Tt,Tt/Tt,Tt/Tt,1,6045 A
6045,B,Tt,NA,0.03315,NA,0.032869999999999996,50.21205695243866,Low,FC03,Tt,Tt,Tt/Tt,Tt/Tt,1,6045 B
6048,A,NA,NA,0,NA,0.00795,0,High,FC02,Sp,None,Tt/None,Sp/Sp,1,6048 A
6048,B,Tt,NA,0.00354,NA,0.0211,14.366883116883116,High,FC02,Sp,Tt,Tt/None,Sp/Sp,1,6048 B
6049,A,Tt,0.02036,0.0172,NA,0.08981,16.073264180917672,High,FC02,Tt,Tt,Tt/None,Tt/None,1,6049 A
6049,B,NA,NA,0,NA,0.03994,0,High,FC02,None,None,Tt/None,Tt/None,1,6049 B
6050,A,Sp,0.00794,0.01354,NA,0.03553,27.59323415528836,High,FC05,Sp,Sp,Sp/Sp,Sp/Sp,1,6050 A
6050,B,Sp,0.02985,0.02736,NA,0.03931,41.037948102594875,High,FC05,Sp,Sp,Sp/Sp,Sp/Sp,1,6050 B
6051,A,NA,NA,0,NA,0.05215,0,High,FC09,Sp,None,Tt/None,Sp/None,1,6051 A
6051,B,Tt,NA,0.0218,NA,0.02715,44.535240040858014,High,FC09,None,Tt,Tt/None,Sp/None,1,6051 B
6052,A,Tt,NA,0.01834,NA,0.038060000000000004,32.51773049645389,High,FC12,Tt,Tt,MIXED/THETE,Tt/Sp,1,6052 A
6052,B,Tt,NA,0.0055,NA,0.05236,9.505703422053232,High,FC12,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6052 B
6052,B,Sp,NA,3.9e-4,NA,NA,100,High,FC12,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6052 B
6053,A,Tt,NA,0.01596,NA,0.046400000000000004,25.593329057087878,Low,FC08,Tt,Tt,Tt/Sp,Tt/Sp,1,6053 A
6053,B,Sp,0.01541,0.00544,NA,0.04428,10.94127111826227,Low,FC08,Sp,Sp,Tt/Sp,Tt/Sp,1,6053 B
6054,A,Tt,NA,0.0097,NA,0.0235,29.21686746987952,Low,FC06,Tt,Tt,Tt/None,Tt/None,1,6054 A
6054,B,NA,NA,0,NA,0.0273,0,Low,FC06,None,None,Tt/None,Tt/None,1,6054 B
6055,A,Tt,0.00445,0.01212,NA,0.0451,21.1814051031108,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,6055 A
6055,B,Tt,3e-4,0.0192,NA,0.1076,15.141955835962145,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,6055 B
6056,A,Tt,NA,0,0.01228,0.01585,0,Low,FC10,Sp,Mixed,MIXED/SUIPU,Sp/None,1,6056 A
6056,A,Sp,0.00358,7e-4,NA,NA,100,Low,FC10,Sp,Mixed,MIXED/SUIPU,Sp/None,1,6056 A
6056,B,Sp,NA,0.01282,NA,0.02185,36.97721372944909,Low,FC10,None,Sp,MIXED/SUIPU,Sp/None,1,6056 B
