Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment
6020,b,SUIPU,NA,0.03720814712046905,0.010676163871104594,NA,36,42.7,NA,0.0022991239380654727,-3.1018594520865195e-4,NA,1.3,0.5,1,Y,Low,N,SUIPU/SUIPU,SUIPU
6021,a,THETE,0.003089840360507967,0.005014018060299774,0.0025180702741527394,24.2,38.7,45.6,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,0.7,0.9,0.6,1,Y,Low,N,THETE/THETE,THETE
6021,b,THETE,0.0017923525687293385,0.004057436218082744,0.002408113730523853,21.5,38.9,44.4,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,0.7,NA,0.4,1,N,Low,N,THETE/THETE,THETE
6022,a,THETE,NA,0.018711999630377507,0.026317907926934447,NA,26.5,43.5,NA,4.016290571162706e-5,-3.6305659057433992e-6,NA,NA,1.4,1,Y,High,N,THETE/THETE,THETE
6022,b,THETE,NA,0.022097432765042058,0.023185558481169988,NA,35.5,37.6,NA,9.999601571684114e-4,-3.028869856829264e-4,NA,2.3,1.4,1,N,High,N,THETE/THETE,THETE
6023,a,THETE,0.02202049367673209,0.028526919277042095,0.026229985035095993,40.7,NA,46.4,0.00749908917032216,0.009812443091747558,0.003120207168362532,2.7,2.5,1.7,1,Y,High,N,THETE/THETE,THETE
6023,b,THETE,NA,0.0525339357059178,0.02879067523123502,NA,49.5,46.8,NA,0.0018356620947948543,-0.0011641715920852058,NA,2.7,2.9,1,N,High,N,THETE/THETE,THETE
6024,a,THETE,0.023119612149667512,0.03225234172026625,0.02675752004110965,40,47.7,48.9,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,2.5,2.4,1.8,1,N,High,N,THETE/THETE,THETE
6024,b,THETE,0.12167707452960985,0.03097759748923634,0.022097432765042058,20.8,46.3,48.6,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,2,2.8,1.7,1,Y,High,N,THETE/THETE,THETE
6025,a,THETE,0.01962433072348735,0.018668031441723798,0.03831791573269672,10.5,33.3,42.8,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,0.8,1.4,1.1,1,Y,High,N,THETE/SUIPU,THETE
6025,b,SUIPU,NA,0.03180178932473887,0.03981221827374681,NA,31.4,44.1,NA,4.270035662953253e-4,-0.001003591976806606,NA,1.6,1.2,1,N,High,N,THETE/SUIPU,SUIPU
6026,a,THETE,NA,0.018063464883455005,0.014578819015147904,NA,41,46.4,NA,0.004437561319404981,-1.0946494792402062e-4,NA,2.3,1.9,1,Y,High,N,THETE/THETE,THETE
6026,b,THETE,NA,0.021679761989539026,0.01971226536119053,NA,41.7,46.2,NA,0.002456043112603057,-7.736720651709827e-4,NA,2.4,1.5,1,N,High,N,THETE/THETE,THETE
6027,a,THETE,0.011544668700143701,0.014875628071857827,0.012215275917769608,18.4,37.5,47.2,0.005094400788785425,0.003434039850243764,5.729803933919309e-4,1.3,2.1,1.8,1,Y,High,Y,THETE,THETE
6028,a,NM,NA,NA,0.0069930941699971605,NA,NA,45.2,NA,NA,-0.0011240266397388732,NA,NA,1.3,1,N,High,N,MIXED/THETE,MIXED
6028,a,SUIPU,NA,0.013743346920825461,NA,NA,31.3,NA,NA,-8.39363360213452e-4,NA,NA,1.6,NA,1,N,High,N,MIXED/THETE,MIXED
6028,a,THETE,NA,0.023405378951008915,NA,NA,31.7,NA,NA,-8.02692338748856e-5,NA,NA,1.7,NA,1,N,High,N,MIXED/THETE,MIXED
6028,b,THETE,NA,0.011049952629107906,0.0060915248743094175,NA,22.6,45.1,NA,7.116579829188896e-4,-8.466623983431898e-4,NA,0.9,1.6,1,Y,High,N,MIXED/THETE,THETE
6029,a,THETE,NA,0.0042553512206249255,0.008532320839050866,NA,54.5,44.8,NA,-0.0017152555717276918,-7.517749860734835e-4,NA,1.5,1,1,N,Low,N,THETE/THETE,THETE
