Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,16.356593605505388,OTHER,2.120999382090656,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,1
6016,a,NA,0.006839168868316259,0.004816106093640249,Tt,NA,-1.0581548273219665e-4,-1.4231014668225628e-4,N,Low,N,Tt/None,Tt,37.5,0.8,47.5,-48.058195622455855,NM,-64.63296950244214,NA,0.05775,NA,0.0637,47.55043227665706,THETE/NM,1
6016,b,NA,NA,0.007421883555783326,None,NA,NA,-9.30601413702159e-4,Y,Low,N,Tt/None,None,46.3,0.6,81.6,-7.975362433909558,0,NA,NA,0,NA,0.02443,0,THETE/NM,1
6019,a,NA,0.0314281573949684,0.009356886849290369,Sp,NA,0.014271001976754571,-7.116303660598677e-4,Y,Low,N,Sp/Sp,Sp,45.2,0.9,50.8,-44.163597977105475,SELF,2.2022390191074455,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU/SUIPU,1
6019,b,NA,0.023801053334227884,0.007136024378321171,Sp,NA,9.125524060649148e-5,-2.6274272740728355e-4,N,Low,N,Sp/Sp,Sp,42.8,0.8,56.1,-90.58691583624054,SELF,260.81848205148214,5.5e-4,0.00259,NA,0.049569999999999996,4.965490797546012,SUIPU/SUIPU,1
6020,a,NA,0.0250540013276197,0.010720139165737885,Sp,NA,2.0438808139339182e-4,-4.744128172703421e-4,N,Low,N,Sp/Sp,Sp,40.8,0.6,63.1,-52.810548989326286,SELF,122.58053971061805,NA,0,NA,0.07132,0,SUIPU/SUIPU,1
6020,b,NA,0.03720814712046905,0.010676163871104594,Sp,NA,0.0022991239380654727,-3.1018594520865195e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.5,90.1,-119.95432963747066,SELF,16.18361955370562,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU/SUIPU,1
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,-14.934571030321676,SELF,-72.3305958381576,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,1
6021,b,0.0017923525687293385,0.004057436218082744,0.002408113730523853,Tt,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,N,Low,N,Tt/Tt,Tt,21.5,0.7,30.7,-4.227387219663426,SELF,-13.55925020217491,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,THETE/THETE,1
6022,a,NA,0.018711999630377507,0.026317907926934447,Tt,NA,4.016290571162706e-5,-3.6305659057433992e-6,Y,High,N,Tt/Tt,Tt,26.5,1.4,18.9,-5154.017339494079,SELF,465.9025361544105,NA,0.0427,NA,0.0451,48.63325740318907,THETE/THETE,1
6022,b,NA,0.022097432765042058,0.023185558481169988,Tt,NA,9.999601571684114e-4,-3.028869856829264e-4,N,High,N,Tt/Tt,Tt,37.6,1.4,26.6,-72.95603247930399,SELF,22.09831322441425,NA,0.03,NA,0.06075,33.057851239669425,THETE/THETE,1
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,9.14263628591459,SELF,2.9072188251500535,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,1
6023,b,NA,0.0525339357059178,0.02879067523123502,Tt,NA,0.0018356620947948543,-0.0011641715920852058,N,High,N,Tt/Tt,Tt,46.8,2.9,16.2,-45.125594940709426,SELF,28.618521815578898,NA,0.0027,NA,0.0446,5.708245243128964,THETE/THETE,1
