Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,forced.uncolonized.N15ppmexcess,forced.mycorrhizas.N15ppmexcess,forced.mycoC13forN15,forced.nmC13forN15
6001,a,NA,0.013556463073283842,0.0035846360617450834,Sp,NA,0.0011276884351851257,-3.831755992851349e-4,Y,Low,N,Sp/None,Sp,41.2,0.9,44.6,-35.37924413395641,None,12.021461469593204,0.00312,0.00774,NA,0.02099,26.94048033414549,SUIPU/NM,1,FC04,None,135.56463073283842,35.846360617450834,11.276884351851258,-3.831755992851349,4.9094485061793,3.5792420449454574,14.488668642284514,29.597308986987123,4.580302580631278,2.474096240480984
6006,a,NA,0.04377849347977203,0.025570558363084084,Tt,NA,0.006601449726569841,0.0010911946748844437,Y,High,N,Tt/Tt,Tt,43.6,1.8,24,40.119782919952506,Self,6.631648394377705,NA,0.0131,NA,0.06016,17.881517881517883,THETE/THETE,1,FC15,Tt,437.78493479772027,255.70558363084083,66.01449726569841,10.911946748844436,6.081727773344836,5.544026718706519,29.2323713839803,84.33492190083427,5.191027926871057,8.747343151605232
6008,b,NA,0.004563217428184441,0.003573640655495147,Sp,NA,1.5329586253060024e-4,-3.3208283020252916e-4,Y,Low,N,Sp/Sp,Sp,37.9,0.7,53.9,-13.74120253492614,Self,29.767388061589408,NA,4.8e-4,NA,0.03811,1.2438455558434829,SUIPU/SUIPU,1,FC06,Sp,45.63217428184441,35.73640655495147,1.5329586253060024,-3.3208283020252916,3.820613044074606,3.5761699606067596,14.999596333110572,19.853383260441866,2.2984583374646843,2.382491219184734
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,Tt,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,Y,High,N,Tt/None,Tt,12,1.1,10.7,132.28955583930494,None,8.666790867358111,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE/NM,1,FC16,None,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772,20.656260750157504,53.97453547025913,5.725046440462431,12.02791694355953
6011,b,NA,0.02042672849601357,0.011808515247866636,Sp,NA,2.919746203876028e-4,-7.225788955825818e-4,Y,Low,N,Tt/Sp,Sp,46.9,0.6,84,-28.26920163443806,Other,69.96063037566975,0.00677,0.00798,NA,0.07516,9.598267981717584,THETE/SUIPU,1,FC13,Tt,204.2672849601357,118.08515247866636,2.919746203876028,-7.225788955825818,5.319429356647306,4.771405995390222,11.094635679310045,21.240170839011892,9.61702645936149,10.643445705826895
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,Tt,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,Y,High,N,Tt/Sp,Tt,45.3,1.2,38.8,-129.07004059799084,Other,4.574397138534313,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE/SUIPU,1,FC02,Sp,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,15.948460654381298,85.2471644920643,3.591315782960305,15.240739020363
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,16.356593605505388,Other,2.120999382090656,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,1,FC07,Sp,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,34.19549987869133,140.74486115699327,1.844913924963962,4.800225026286845
6019,a,NA,0.0314281573949684,0.009356886849290369,Sp,NA,0.014271001976754571,-7.116303660598677e-4,Y,Low,N,Sp/Sp,Sp,45.2,0.9,50.8,-44.163597977105475,Self,2.2022390191074455,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU/SUIPU,1,FC13,Sp,314.28157394968406,93.56886849290369,142.7100197675457,-7.116303660598677,5.750289316407859,4.538697726587834,11.204120974537185,161.03044440268155,1.951690409322689,8.351290449786383
6020,b,NA,0.03720814712046905,0.010676163871104594,Sp,NA,0.0022991239380654727,-3.1018594520865195e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.5,90.1,-119.95432963747066,Self,16.18361955370562,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU/SUIPU,1,FC11,Sp,372.0814712046905,106.76163871104593,22.991239380654726,-3.1018594520865195,5.919112838909021,4.670598673903777,15.218565183049344,41.31166401579058,9.006692905482325,7.015223671017198
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,-14.934571030321676,Self,-72.3305958381576,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,1,FC13,Tt,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084,14.963101515429374,17.62721617995891,2.844475275682165,1.6828531648710678
6022,a,NA,0.018711999630377507,0.026317907926934447,Tt,NA,4.016290571162706e-5,-3.6305659057433992e-6,Y,High,N,Tt/Tt,Tt,26.5,1.4,18.9,-5154.017339494079,Self,465.9025361544105,NA,0.0427,NA,0.0451,48.63325740318907,THETE/THETE,1,FC07,Tt,187.11999630377508,263.17907926934447,0.4016290571162706,-0.03630565905743399,5.231750102522691,5.5728347102332565,18.28411897607843,18.722053692252135,9.994629829590336,14.393861668351
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,9.14263628591459,Self,2.9072188251500535,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,1,FC14,Tt,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397,49.522496318761185,116.44485555261144,2.449822204824946,5.296579733432981
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,4233.181249846659,Self,5.866409545438396,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,1,FC14,Tt,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403,18.393602691214515,71.12546193997917,4.35534570100613,12.013651232989083
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,7.544804870507786,Other,4.8998658730745275,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,1,FC07,Sp,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289,43.06331959680156,56.41949086531031,3.3087911917336874,8.898040395274753
6026,a,NA,0.018063464883455005,0.014578819015147904,Tt,NA,0.004437561319404981,-1.0946494792402062e-4,Y,High,N,Tt/Tt,Tt,46.4,1.9,24.6,-165.01597293037418,Self,4.070583724548301,NA,0.02705,NA,0.09192,22.736824409515002,THETE/THETE,1,FC15,Tt,180.63464883455003,145.78819015147903,44.37561319404981,-1.0946494792402062,5.196476476593163,4.982154815961063,17.225775155895658,62.69603782918567,2.8811174531744124,8.463374729559376
6028,b,NA,0.011049952629107906,0.0060915248743094175,Tt,NA,7.116579829188896e-4,-8.466623983431898e-4,Y,High,N,MIXED/THETE,Tt,45.1,1.6,28.9,-13.051190947810193,0,15.527054981925653,0.0105,0.0629,NA,0.0385,62.03155818540434,MIXED/THETE,1,FC09,Mixed,110.49952629107906,60.915248743094175,7.116579829188896,-8.466623983431898,4.705011233990058,4.109483533243723,9.853800651703965,25.43700446432476,4.344046345789417,6.181903906545991
6029,b,NA,0.008884137351575339,0.010401317393731846,Tt,NA,1.8249142258303097e-4,-4.707633253426269e-4,Y,Low,N,Tt/Tt,Tt,46.4,0.8,55.2,-18.87177032133793,Self,48.68249272117534,NA,0.00153,NA,0.03923,3.7536800785083417,THETE/THETE,1,FC08,Tt,88.84137351575339,104.01317393731846,1.8249142258303097,-4.707633253426269,4.486852459462245,4.6445175635933085,13.612791381709593,20.145338860966174,4.410021302143167,7.640840957650504
6031,a,NA,0.006597285283492793,0.005948591647396917,Tt,NA,-6.49588744216334e-4,-7.992186696161863e-4,Y,Low,N,Tt/None,Tt,45,0.6,75.7,-8.254668633630704,None,-10.156095440741943,NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE/NM,1,FC04,None,65.97285283492793,59.48591647396917,-6.4958874421633395,-7.992186696161863,4.18924333672796,4.085739586617726,10.328237938974,11.824537192972523,5.57931796892114,5.759541639672803
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,-6.5003417723557355,Self,-7.48817237553154,NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,1,FC04,Tt,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569,9.744315059705883,10.875665016670172,5.125906621068023,8.056666041620913
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,Sp,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,Y,Low,N,Sp/Sp,Sp,32.2,1.8,17.9,-21.464265928397083,Self,13.336908683910584,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU/SUIPU,1,FC01,Sp,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571,8.977915241961593,33.356150739758306,6.0117879793192595,7.029940882474174
6034,a,NA,0.01450186822817523,0.02051466170688876,Tt,NA,4.963426125029202e-4,-3.7952611404140635e-4,Y,High,N,MIXED/THETE,Tt,35.7,3.6,9.9,-38.21046218335604,0,29.217455569745,NA,0.02442,NA,0.040190000000000003,37.79600681009132,MIXED/THETE,1,FC05,Mixed,145.0186822817523,205.1466170688876,4.963426125029202,-3.7952611404140635,4.976862577443416,5.3237249287151265,14.5251634947218,23.283850760165066,6.2282946139586155,14.12353238870147
