Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
3,67,180220,AY,6004,none,B03,shoot,0.2867,,,,,,,,,,,,,,,,,,,
3,68,180220,AY,6068,A,FC05,extra roots,0.49194,,,,,,,,,,,,,,,,,,,
3,69,180220,AY,6004,none,B03,live mycos %,0.00407,,,,,,,,,,,,,,,,,,,
3,70,180220,AY,6004,none,B03,other %,0.00276,,,,,,,,,,,,,,,,,,,
3,71,180220,AY,6068,A,FC05,other %,0.00147,,,,,,,,,,,,,,,,,,,
3,72,180220,AY,6068,A,FC05,NM %,0.03275,,,,,,,,,,,,,,,,,,,
3,73,180220,AY,6004,none,B03,extra live mycos,0.0021,,,,,,,,,,,,,,,,,,,
3,74,180220,AY,6004,none,B03,dead mycos %,0.00686,,,,,,,,,,,,,,,,,,,
3,75,180220,AY,6004,none,B03,extra roots,0.18095,,,,,,,,,,,,,,,,,,,
3,76,180220,AY,6085,none,FC06,before,0.01347,,,,,,,,,,,,,,,,,,,
3,77,180220,AY,6008,none,FC06,before,0.00431,,,,,,,,,,,,,,,,,,,
3,78,180220,AY,6080,none,FC06,before,0.00724,,,,,,,,,,,,,,,,,,,
3,79,180220,AY,6079,none,FC06,before,0.00552,,,,,,,,,,,,,,,,,,,
3,80,180220,AY,6054,none,FC06,before,0.01569,,,,,,,,,,,,,,,,,,,
3,81,180220,AY,6022,none,FC07,before,0.01691,,,,,,,,,,,,,,,,,,,
3,82,180220,AY,6015,none,FC07,before,0.00923,,,,,,,,,,,,,,,,,,,
3,83,180220,AY,6002,none,FC07,before,0.00677,,,,,,,,,,,,,,,,,,,
3,84,180220,AY,6025,none,FC07,before,0.00702,,,,,,,,,,,,,,,,,,,
3,85,180220,AY,6041,none,FC07,before,0.02407,,,,,,,,,,,,,,,,,,,
3,86,180220,AY,6014,none,FC07,before,0.00718,,,,,,,,,,,,,,,,,,,
4,87,180209,AY,6001,A,FC04,NM %,0.01601,,,,,,,,,,,,,,,,,,,
4,88,180209,AY,6084,A,FC04,live mycos %,0.0179,,,,,,,,,,,,,,,,,,,
4,89,180209,AY,6084,A,FC04,other roots,0.65945,,,,,,,,,,,,,,,,,,,
4,90,180209,AY,6084,A,FC04,NM %,0.0171,,,,,,,,,,,,,,,,,,,
