Plant,Side,dead_tissue,mycorrhizas,other,roots,percent_col,compartment_fungus,enriched
6054,A,NA,0.0097,NA,0.0235,29.21686746987952,THETE,1
6054,B,NA,0,NA,0.0273,0,NM,1
6055,A,0.00445,0.01212,NA,0.0451,21.1814051031108,THETE,1
6055,B,3e-4,0.0192,NA,0.1076,15.141955835962145,THETE,1
6056,A,0.00358,7e-4,0.01228,0.01585,2.428026361429067,MIXED,1
6056,B,NA,0.01282,NA,0.02185,36.97721372944909,SUIPU,1
6057,A,0.00511,0.01374,NA,0.02152,38.96766874645491,MIXED,1
6057,B,NA,0.02002,NA,0.04595,30.347127482188874,THETE,1
6058,A,NA,0,NA,0.03195,0,NM,1
6058,B,NA,0,NA,0.07091,0,NM,1
6059,B,NA,0.02551,NA,0.0523,32.78498907595424,NA,1
6061,A,NA,0,NA,0.0222,0,NM,1
6061,B,NA,0.00306,NA,0.05926,4.910141206675224,THETE,1
6062,A,9e-4,0.00143,NA,0.040459999999999996,3.413702554308905,SUIPU,1
6062,B,5.6e-4,0,NA,0.04939,0,NM,1
6063,A,0.0031,0.0122,NA,0.06801,15.210073556913104,SUIPU,1
6063,B,NA,0,NA,0.0335,0,NM,1
6064,A,0.0124,0.00185,NA,0.04229,4.191209787041233,SUIPU,1
6064,B,NA,0.00667,NA,0.032189999999999996,17.16417910447761,THETE,1
6065,A,NA,0.04468,NA,0.03701,54.694577059615625,THETE,1
6065,B,NA,0.01168,NA,0.12567,8.503822351656352,THETE,1
6066,A,NA,0.03796,NA,0.0557,40.52957505872305,THETE,1
6066,B,NA,0.00971,NA,0.03839,20.187110187110186,THETE,1
6067,A,NA,0.01886,NA,0.0349,35.081845238095234,THETE,1
6067,B,0.00488,0.02558,NA,0.01476,63.41100644521567,MIXED,1
6068,A,NA,0,NA,0.03422,0,NM,1
6068,B,0.0053,0.01874,NA,0.036449999999999996,33.95542670773691,THETE,1
6069,A,NA,0.00352,NA,0.02879,10.89445991952956,THETE,1
6069,B,NA,0,NA,0.07164,0,NM,1
6070,A,NA,0.0118,NA,0.0298,28.365384615384613,THETE,1
6070,B,NA,0.0191,NA,0.0556,25.568942436412318,THETE,1
6071,A,NA,0.02043,NA,0.01718,54.32065939909598,THETE,1
6071,B,NA,0.0024,NA,0.03737,6.034699522252954,SUIPU,1
6072,A,NA,0.0174,NA,0.0122,58.783783783783775,THETE,1
6072,B,NA,0.0209,NA,0.07153,22.61170615600995,THETE,1
6073,A,NA,0.032,NA,0.00646,83.20332813312532,THETE,0
6073,B,NA,0.01424,NA,0.17317000000000002,7.598313857318178,THETE,0
6074,A,NA,0,NA,0.02876,0,NM,1
6074,B,NA,0,NA,0.01858,0,NM,1
6075,A,NA,0.0065,NA,0.017300000000000003,27.310924369747898,THETE,1
6075,B,NA,0.00294,NA,0.0149,16.479820627802688,THETE,1
6076,A,NA,0,NA,0.0327,0,NM,1
6076,B,NA,0,NA,0.0406,0,THETE,1
6077,A,6.5e-4,0.00876,NA,0.043739999999999994,16.68571428571429,SUIPU,1
6077,B,0.00817,0.00748,NA,0.025800000000000003,22.475961538461533,SUIPU,1
6078,A,NA,0.01268,NA,0.021589999999999998,37.000291800408526,THETE,1
6078,B,0.00644,0.00375,NA,0.03691,9.222823413674371,SUIPU,1
6079,A,0.0114,0.0062,NA,0.07999999999999999,7.192575406032484,SUIPU,1
6079,B,NA,0,NA,0.0288,0,NM,1
6080,A,NA,0.01527,NA,0.034100000000000005,30.929714401458376,THETE,1
6080,B,NA,0.0087,NA,0.0287,23.262032085561493,THETE,1
6082,A,NA,0,NA,0.0057,0,OTHER,1
6082,B,0.001,0.0113,NA,0.0258,30.45822102425876,OTHER,1
6084,A,0.0184,0.0179,NA,0.027290000000000002,39.61053330382828,SUIPU,1
6084,B,0.00753,0.0041,NA,0.02579,13.716962194713952,SUIPU,1
6085,A,NA,0.0342,NA,0.0353,49.20863309352518,THETE,1
6085,B,0.0033,0.0015,NA,0.02194,6.399317406143344,SUIPU,1
6087,A,0.0099,0.0216,NA,0.0771,21.88449848024316,THETE,1
6087,B,0.0075,0.0235,NA,0.0538,30.40103492884864,THETE,1
6088,A,NA,0.01057,NA,0.01399,43.037459283387626,THETE,1
6088,B,NA,0.00704,NA,0.02207,24.184129165235316,THETE,1
6090,A,NA,0.03334,NA,0.04592,42.064092858945244,THETE,1
6090,B,NA,0,NA,0.04947,0,NM,1
6091,A,NA,0.07396,NA,0.04258,63.46318860477089,THETE,0
6091,B,NA,0,NA,0.03595,0,NM,0
6092,A,0.00245,9.9e-4,NA,0.0254,3.751420992800303,SUIPU,1
6092,B,NA,0.0028,NA,0.07474,3.6110394635027085,SUIPU,1
6093,A,NA,0.06445,NA,0.1644,28.162551889884202,THETE,1
6093,B,NA,0.05466,NA,0.05412,50.24820739106454,THETE,1
6094,A,NA,0.02518,NA,0.05662,30.782396088019564,THETE,1
6094,B,NA,0.03333,NA,0.04045,45.174844131200864,THETE,1
6096,A,NA,0,NA,0.02476,0,NM,1
6096,B,NA,0,NA,0.01954,0,THETE,1
6097,A,8.1e-4,0.02779,NA,0.03915,41.514789363609204,THETE,1
6097,B,NA,0.02726,NA,0.09813,21.740170667517344,THETE,1
6098,A,2e-4,0.0014,NA,0.044,3.083700440528635,MIXED,1
6098,B,NA,0,0.0022,0.042800000000000005,0,THETE,1
6099,A,NA,0.02702,NA,0.09562000000000001,22.03196347031963,THETE,1
6099,B,NA,0.0144,NA,0.04307999999999999,25.05219206680585,THETE,1
6100,A,NA,0.01449,NA,0.02585,35.91968269707486,THETE,1
6100,B,NA,0.01496,NA,0.06899,17.820131030375222,THETE,1
6101,A,NA,0.00604,NA,0.01138,34.672789896670494,THETE,1
6101,B,NA,0,NA,0.02948,0,NM,1
6102,A,NA,0.00954,NA,0.0408,18.951132300357568,THETE,1
6102,B,NA,0.06504,NA,0.05097,56.06413240237911,THETE,1
6103,A,NA,0.01654,NA,0.04136,28.56649395509499,THETE,1
6103,B,NA,0.00451,NA,0.030440000000000002,12.90414878397711,THETE,1
6104,A,NA,0.0055,NA,0.03904,12.348450830713965,THETE,1
6104,B,4.5e-4,0.01681,NA,0.01886,47.1264367816092,THETE,1
6105,A,NA,0.00681,NA,NA,100,NA,NA
6105,B,NA,0.02147,NA,NA,100,NA,NA
6106,A,NA,0.01337,NA,0.06049,18.10181424316274,THETE,0
6106,B,0,0,NA,0.02799,0,SUIPU,0
6107,A,NA,0.01315,NA,0.01649,44.365721997300945,THETE,0
6107,B,NA,0.00143,NA,0.04099,3.371051390853371,SUIPU,0
