plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6021,b,hyphae/rhizomorphs,Bogar_6021_b_hyphae/rhizomorphs,3_H11,3,77,1067,-28.48,21.5,229,2.79,0.7,7,30.7
6031,a,mycorrhizas,Bogar_6031_a_mycorrhizas,3_H12,3,78,3713,-24.11,33.5,1245,4.12,0.7,26,47.8
6065,a,mycorrhizas,Bogar_6065_a_mycorrhizas,4_A1,3,79,4122,-10.42,29.7,1223,5.93,1.4,57,21.4
6055,a,mycorrhizas,Bogar_6055_a_mycorrhizas,4_A2,3,80,2611,-25.13,44.8,1169,3.95,2.5,65,18.1
6049,a,hyphae/rhizomorphs,Bogar_6049_a_hyphae/rhizomorphs,4_A3,3,81,2382,-17.12,10,237,10.92,0.7,17,14.1
6016,a,NM,Bogar_6016_a_NM,4_A4,3,82,3052,-24.86,44.5,1357,2.35,0.4,13,107.3
6041,b,mycorrhizas,Bogar_6041_b_mycorrhizas,4_A5,3,83,1334,81.82,47.9,639,129.26,3,40,16.2
6007,a,NM,Bogar_6007_a_NM,4_A6,3,87,2905,-25.12,46.7,1356,3.34,0.7,20,67.2
6097,a,hyphae/rhizomorphs,Bogar_6097_a_hyphae/rhizomorphs,4_A7,3,88,2262,-25.2,15.4,348,8.56,1,23,15
6062,b,NM,Bogar_6062_b_NM,4_A8,3,89,2506,-25.22,49,1229,3.57,0.8,19,63.6
6002,a,hyphae/rhizomorphs,Bogar_6002_a_hyphae/rhizomorphs,4_A9,3,90,967,-15.57,24.9,241,8.14,1.8,17,14.1
6030,b,NM,Bogar_6030_b_NM,4_A10,3,91,2709,-18.2,44.8,1213,2.68,0.6,17,69.4
6053,a,NM,Bogar_6053_a_NM,4_B1,3,95,3369,-26.97,43.7,1472,4.08,0.5,18,84.1
6071,b,mycorrhizas,Bogar_6071_b_mycorrhizas,4_B2,3,96,1610,-9.52,43,693,5.96,1.1,17,40.1
6071,b,NM,Bogar_6071_b_NM,4_B3,3,97,3325,-21.16,39.7,1321,5.89,0.6,18,72.1
6055,b,NM,Bogar_6055_b_NM,4_B4,3,98,3043,-22.23,51.3,1561,3.48,2.1,64,24.3
6058,b,NM,Bogar_6058_b_NM,4_B5,3,99,3356,-25.07,44.3,1486,5.28,0.7,23,66
6061,b,mycorrhizas,Bogar_6061_b_mycorrhizas,4_B6,3,100,1211,-22.85,55.5,672,4.02,1.1,14,48.4
6065,a,NM,Bogar_6065_a_NM,4_B7,3,101,3453,-5.29,45.5,1569,2.99,1.8,61,25.6
6021,b,NM,Bogar_6021_b_NM,4_B8,3,104,3677,-27.92,44.4,1633,3.27,0.4,16,99.6
6055,b,hyphae/rhizomorphs,Bogar_6055_b_hyphae/rhizomorphs,4_B9,3,105,2183,-29,14.6,318,8.54,0.9,20,16
6010,a,mycorrhizas,Bogar_6010_a_mycorrhizas,4_B10,3,106,3188,-2,35.1,1118,15.67,1.9,61,18.4
6096,a,NM,Bogar_6096_a_NM,4_B11,3,107,2916,-27.17,46.4,1354,3.87,0.8,23,58.8
6071,a,hyphae/rhizomorphs,Bogar_6071_a_hyphae/rhizomorphs,4_B12,3,108,1380,-27.08,23.1,319,2.99,0.8,11,28.2
6080,a,NM,Bogar_6080_a_NM,4_C1,3,109,3078,-24.36,47.3,1457,2.51,0.6,19,78.5
6090,a,hyphae/rhizomorphs,Bogar_6090_a_hyphae/rhizomorphs,4_C2,3,110,236,-14.6,35.1,83,16.8,2.6,6,13.3
6002,b,mycorrhizas,Bogar_6002_b_mycorrhizas,4_C3,3,112,3058,28.19,32.4,992,5.85,2.2,68,14.7
6033,b,NM,Bogar_6033_b_NM,4_C5,3,114,2783,-24.37,41.9,1167,3.34,0.9,24,47.9
6077,a,NM,Bogar_6077_a_NM,4_C6,3,115,3588,-26.21,42.7,1533,4.12,0.8,28,55.2
6030,a,mycorrhizas,Bogar_6030_a_mycorrhizas,4_C7,3,116,3105,-14.37,38.5,1194,4.94,1,32,37.2
6020,b,mycorrhizas,Bogar_6020_b_mycorrhizas,4_C8,3,117,1423,3.74,36,512,12.2,1.3,18,28.7
6032,b,mycorrhizas,Bogar_6032_b_mycorrhizas,4_C9,3,118,2415,-25.04,43.9,1060,3.86,1,25,42.1
6044,a,mycorrhizas,Bogar_6044_a_mycorrhizas,4_C10,3,119,2568,-22.51,47.1,1209,5.82,0.9,24,50.9
